Item Name,Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Cocoa beans,Cote d'Ivoire,361.1,448.3,748.6,505.8,485.9,608.1,746.7,833.9,772.7,752.3,660.6,577.1,741.2,594.0,499.4,534.0,360.1,384.6,529.6,395.1,344.2,246.3,206.0,214.7,260.9
Cocoa beans,Ecuador,171.1,170.2,197.3,184.0,116.2,123.5,126.1,166.8,296.3,236.3,166.9,125.1,234.9,93.5,172.5,95.2,60.6,31.8,46.5,48.5,42.7,30.6,20.0,10.7,34.8
Cocoa beans,Ghana,146.7,139.2,134.6,139.3,174.9,115.5,186.5,181.4,198.6,157.5,148.7,124.5,220.9,95.6,55.2,10.0,38.0,57.7,19.6,7.9,0.5,11.2,39.7,55.5,34.4
Cocoa beans,Dominican Republic,39.6,55.6,45.7,57.7,66.7,47.1,43.0,51.7,80.3,69.3,53.5,77.2,55.2,55.4,99.5,28.6,31.9,32.8,21.8,33.8,49.8,34.9,25.3,12.7,14.5
Cocoa beans,Papua New Guinea,25.1,13.9,19.1,29.8,10.8,17.3,21.2,22.1,32.5,26.1,15.8,20.3,23.0,34.2,38.6,42.2,36.9,15.7,16.7,20.1,4.7,20.3,12.3,8.4,29.0
Cocoa beans,Nigeria,9.7,16.3,51.6,11.8,8.3,15.2,29.5,4.6,6.1,43.4,21.2,50.4,55.9,24.3,42.5,34.3,7.0,1.8,48.7,1.4,38.3,7.9,1.0,0.0,3.3
Cocoa beans,Rest of world,16.0,55.5,65.4,67.3,42.3,34.5,35.6,33.3,42.6,27.4,43.9,21.5,93.8,353.9,270.8,134.0,125.7,189.6,189.3,172.6,221.7,156.6,130.9,103.3,192.0
Cocoa beans,World,769.3,899.0,"1,262.3",995.7,905.1,961.2,"1,188.6","1,293.8","1,429.1","1,312.3","1,110.6",996.1,"1,424.9","1,250.9","1,178.5",878.3,660.2,714.0,872.2,679.4,701.9,507.8,435.2,405.3,568.9
"Cocoa paste, butter, and powder",Cote d'Ivoire,300.1,285.6,235.3,254.0,159.3,112.6,134.5,182.1,125.6,181.1,141.4,154.4,129.3,170.9,130.0,80.7,65.4,78.9,77.8,62.4,59.8,29.6,13.1,24.0,30.2
"Cocoa paste, butter, and powder",Indonesia,230.7,196.9,229.8,257.5,312.1,363.6,305.1,241.0,267.2,251.0,159.6,156.5,166.0,122.3,99.3,138.5,83.0,63.6,68.4,62.0,59.9,49.9,46.8,43.9,56.5
"Cocoa paste, butter, and powder",Malaysia,215.1,207.6,159.7,195.5,189.9,116.5,124.9,126.9,127.4,183.2,131.3,142.6,274.1,304.8,239.6,255.2,120.5,107.3,111.6,109.5,89.6,38.0,47.1,43.2,56.8
"Cocoa paste, butter, and powder",Netherlands,207.3,246.1,199.2,157.6,163.2,141.3,183.2,195.2,133.3,155.6,191.4,257.0,282.0,242.4,154.5,119.2,94.6,112.0,120.8,149.3,164.1,113.3,91.1,70.3,64.0
"Cocoa paste, butter, and powder",Ghana,118.0,133.5,83.9,56.3,50.0,53.4,37.4,44.7,19.2,32.7,29.1,51.5,48.4,86.3,32.2,5.8,11.6,10.1,9.4,10.0,6.1,12.7,14.0,11.9,5.0
"Cocoa paste, butter, and powder",Ecuador,64.6,44.6,35.3,50.9,22.9,10.6,14.9,23.0,12.7,20.1,17.0,6.6,11.2,8.9,10.5,19.7,0.7,2.2,8.9,11.8,13.9,4.8,11.4,21.7,17.9
"Cocoa paste, butter, and powder",Canada,54.7,52.3,41.4,37.7,17.9,23.9,33.5,33.7,30.6,24.2,35.9,29.8,32.0,34.3,19.9,15.8,15.9,18.6,13.0,16.1,18.7,11.6,13.2,13.2,13.4
"Cocoa paste, butter, and powder",Spain,38.3,33.1,25.3,22.8,20.9,27.6,35.3,27.5,19.2,25.1,33.9,47.3,48.7,35.5,13.9,12.8,14.6,6.5,7.3,9.8,9.3,7.2,2.2,1.9,2.6
"Cocoa paste, butter, and powder",Rest of world,225.4,294.5,261.0,231.8,301.1,277.2,309.6,359.3,324.4,312.0,257.8,313.3,414.0,419.9,274.1,380.3,295.3,304.6,255.5,235.5,247.9,143.8,99.5,120.4,120.2
"Cocoa paste, butter, and powder",World,"1,454.2","1,494.2","1,270.9","1,264.1","1,237.3","1,126.7","1,178.4","1,233.4","1,059.6","1,185.0",997.4,"1,159.0","1,405.7","1,425.3",974.0,"1,028.0",701.6,703.8,672.7,666.4,669.3,410.9,338.4,350.5,366.6
Chocolate,Canada,"1,977.5","1,880.7","1,647.0","1,506.7","1,500.7","1,378.9","1,420.9","1,411.8","1,290.3","1,153.1","1,010.1",959.5,908.5,837.9,627.4,742.5,709.9,690.0,699.2,705.2,686.2,514.0,442.8,377.5,332.8
Chocolate,Mexico,598.2,560.9,477.8,517.9,526.4,458.0,496.2,466.7,450.2,411.5,419.0,416.4,411.2,349.7,302.9,167.2,104.4,90.0,94.6,74.8,60.0,42.6,31.7,29.6,25.8
Chocolate,Belgium,203.6,180.2,158.6,125.9,148.6,139.3,156.8,136.9,122.3,128.0,120.3,116.3,111.8,86.5,76.5,86.9,99.8,86.6,73.1,67.8,59.0,48.7,52.8,45.9,45.2
Chocolate,Germany,186.1,162.8,145.6,134.7,131.8,146.8,135.3,116.6,125.3,156.0,150.9,132.1,111.6,89.3,65.8,68.1,74.9,58.8,47.9,43.7,50.7,50.5,53.4,37.5,28.3
Chocolate,Poland,140.8,136.2,100.6,72.1,67.7,74.8,53.9,36.8,30.1,28.5,27.6,22.3,16.6,16.8,14.4,15.7,18.3,15.9,10.0,8.1,8.9,6.9,5.0,4.5,3.1
Chocolate,Italy,97.0,103.8,67.5,58.7,58.8,51.0,46.9,41.1,38.5,41.2,41.1,31.2,33.4,24.8,23.4,35.7,27.6,28.7,22.3,16.1,15.2,13.9,14.4,10.6,10.8
Chocolate,Switzerland,90.7,81.5,71.0,59.0,71.3,66.9,55.7,63.1,55.8,57.6,53.5,46.9,56.6,47.6,44.9,55.9,55.6,45.9,38.1,32.6,24.4,21.6,18.6,19.1,24.5
Chocolate,Croatia,65.8,32.1,15.9,4.7,2.1,1.9,1.6,1.6,1.3,1.6,1.5,1.4,1.3,1.9,1.4,1.3,1.3,1.2,1.1,1.2,0.9,0.8,0.9,0.9,0.4
Chocolate,Rest of world,568.4,518.3,416.7,312.0,326.9,306.5,276.3,278.8,256.9,252.5,226.2,213.9,198.4,164.1,166.8,218.8,207.9,223.9,218.8,188.2,161.7,142.1,141.8,121.6,115.5
Chocolate,World,"3,928.1","3,656.5","3,100.7","2,791.7","2,834.3","2,624.1","2,643.6","2,553.4","2,370.7","2,230.0","2,050.2","1,940.0","1,849.4","1,618.6","1,323.5","1,392.1","1,299.7","1,241.0","1,205.1","1,137.7","1,067.0",841.1,761.4,647.2,586.4
"coffee, tea, and spices",Colombia,"1,560.9","2,132.0","1,485.3","1,221.8","1,267.9","1,254.0","1,367.9","1,194.9","1,311.2","1,243.7","1,026.2",999.5,"1,441.9",918.1,789.0,853.7,706.8,629.9,632.7,410.0,377.3,331.4,318.8,451.6,519.3
"coffee, tea, and spices",Brazil,"1,542.6","2,266.8","1,378.7","1,216.7","1,171.6","1,122.4","1,258.6","1,277.8","1,585.6","1,552.7","1,291.1","1,515.4","2,111.4","1,209.9",867.0,863.2,746.0,642.0,562.5,394.0,339.5,259.8,233.3,336.4,553.3
"coffee, tea, and spices",Switzerland,"1,123.4",854.1,790.9,454.5,360.9,238.2,186.0,115.4,118.4,59.5,49.1,66.4,84.7,62.2,54.5,38.6,35.5,37.9,38.4,36.2,28.7,22.2,17.9,10.0,4.0
"coffee, tea, and spices",Mexico,728.3,729.9,487.0,405.8,385.3,403.1,387.1,338.6,413.3,463.4,539.6,647.3,653.2,389.7,379.1,365.4,332.3,295.9,251.8,215.3,196.6,226.8,221.2,501.3,480.6
